oldID,newID
duravent-directvent-pro-sconce-horizontal-high-wind-cap-stainless-steel-direct-vent-pipe-for-gas-fir,46dva-hsch-s
duravent-directvent-pro-sconce-horizontal-termination-cap-aluminum-direct-vent-pipe-for-gas-fireplac,46dva-hsc
duravent-directvent-pro-sconce-horizontal-termination-cap-copper-direct-vent-pipe-for-gas-fireplaces,46dva-hsc-c
duravent-directvent-pro-sconce-horizontal-termination-cap-stainless-steel-direct-vent-pipe-for-gas-f,46dva-hsc-s
duravent-directvent-pro-sconce-termination-cap-aluminum-direct-vent-pipe-for-gas-fireplaces-gas-stov,58dva-hsc
duravent-directvent-pro-sconce-termination-cap-copper-direct-vent-pipe-for-gas-fireplaces-gas-stoves,58dva-hsc-c
duravent-directvent-pro-sconce-termination-cap-stainless-steel-direct-vent-pipe-for-gas-fireplaces-g,58dva-hsc-s
duravent-directvent-pro-square-horizontal-termination-cap-aluminum-direct-vent-pipe-for-gas-fireplac,58dva-hc
duravent-directvent-pro-square-horizontal-termination-cap-copper-direct-vent-pipe-for-gas-fireplaces,46dva-hc-c
duravent-directvent-pro-square-horizontal-termination-cap-direct-vent-pipe-for-gas-fireplaces-gas-st,46dva-hc
duravent-directvent-pro-square-horizontal-termination-cap-stainless-steel-direct-vent-pipe-for-gas-f,46dva-hc-s
duravent-directvent-pro-steep-pitch-roof-flashing-7-12-12-12-direct-vent-pipe-for-gas-fireplaces-gas,58dva-f12
duravent-directvent-pro-storm-collar-direct-vent-pipe-for-gas-fireplaces-gas-stoves-46dva-sc,46dva-sc
duravent-directvent-pro-storm-collar-direct-vent-pipe-for-gas-fireplaces-gas-stoves-58dva-sc,58dva-sc
duravent-directvent-pro-swivel-elbow-galvanized-direct-vent-pipe-for-gas-fireplaces-gas-stoves-46dva,46dva-e90
duravent-directvent-pro-universal-wall-thimble-direct-vent-pipe-for-gas-fireplaces-gas-stoves-46dva-,46dva-wtu
duravent-directvent-pro-vertical-termination-wind-guard-direct-vent-pipe-for-gas-fireplaces-gas-stov,46dva-vwg
